id,Host Id,Host Since,anio,mes,cant,Neighbourhood 
1,500,2008/06/26,2008,6,1,Manhattan
2,500,2008/06/26,2008,6,1,Manhattan
3,1039,2008/07/25,2008,6,1,Brooklyn
4,1783,2008/08/12,2008,6,1,Manhattan
5,2078,2008/08/15,2008,6,1,Brooklyn
6,2339,2008/08/20,2008,6,1,Manhattan
7,2339,2008/08/20,2008,6,1,Manhattan
8,2571,2008/08/27,2008,6,1,Brooklyn
9,2758,2008/09/06,2008,6,1,Manhattan
10,2758,2008/09/06,2008,6,1,Manhattan
11,2787,2008/09/07,2008,6,1,Brooklyn
12,2845,2008/09/09,2008,6,1,Manhattan
13,2881,2008/09/10,2008,6,1,Brooklyn
14,2965,2008/09/14,2008,6,1,Manhattan
15,3211,2008/09/25,2008,6,1,Queens
16,3227,2008/09/26,2008,6,1,Manhattan
17,3226,2008/09/26,2008,6,1,Manhattan
18,3226,2008/09/26,2008,6,1,Manhattan
19,3226,2008/09/26,2008,6,1,Manhattan
20,3415,2008/10/02,2008,6,1,Queens
21,3563,2008/10/10,2008,6,1,Brooklyn
22,3647,2008/10/14,2008,6,1,Queens
23,3647,2008/10/14,2008,6,1,Queens
24,3647,2008/10/14,2008,6,1,Queens
25,3867,2008/10/29,2008,6,1,Manhattan
26,3867,2008/10/29,2008,6,1,Manhattan
27,3867,2008/10/29,2008,6,1,Manhattan
28,3867,2008/10/29,2008,6,1,Manhattan
29,3867,2008/10/29,2008,6,1,Manhattan
30,4177,2008/11/09,2008,6,1,Brooklyn
31,4267,2008/11/12,2008,6,1,Manhattan
32,4267,2008/11/12,2008,6,1,Manhattan
33,4396,2008/11/19,2008,6,1,Manhattan
34,4488,2008/11/21,2008,6,1,Manhattan
35,4732,2008/12/01,2008,6,1,Brooklyn
36,4869,2008/12/07,2008,6,1,Brooklyn
37,5871,2008/12/31,2008,6,1,Brooklyn
38,5871,2008/12/31,2008,6,1,Brooklyn
39,5926,2009/01/02,2009,7,1,Manhattan
40,5926,2009/01/02,2009,7,1,Manhattan
41,5926,2009/01/02,2009,7,1,Manhattan
42,5940,2009/01/02,2009,7,1,Queens
43,5926,2009/01/02,2009,7,1,Manhattan
44,5926,2009/01/02,2009,7,1,Manhattan
45,5926,2009/01/02,2009,7,1,Manhattan
46,5926,2009/01/02,2009,7,1,Manhattan
47,5926,2009/01/02,2009,7,1,Manhattan
48,5926,2009/01/02,2009,7,1,Manhattan
49,6041,2009/01/05,2009,7,1,Queens
50,7118,2009/01/26,2009,7,1,Manhattan
51,7222,2009/01/29,2009,7,1,Manhattan
52,7209,2009/01/29,2009,7,1,Manhattan
53,7230,2009/01/30,2009,7,1,Manhattan
54,7323,2009/02/02,2009,7,1,Brooklyn
55,7299,2009/02/02,2009,7,1,Manhattan
56,7322,2009/02/02,2009,7,1,Manhattan
57,7351,2009/02/02,2009,7,1,Brooklyn
58,7351,2009/02/02,2009,7,1,Brooklyn
59,7351,2009/02/02,2009,7,1,Brooklyn
60,7338,2009/02/02,2009,7,1,Manhattan
61,7386,2009/02/03,2009,7,1,Manhattan
62,7356,2009/02/03,2009,7,1,Brooklyn
63,7356,2009/02/03,2009,7,1,Brooklyn
64,7414,2009/02/04,2009,7,1,Brooklyn
65,7414,2009/02/04,2009,7,1,Brooklyn
66,7414,2009/02/04,2009,7,1,Brooklyn
67,7498,2009/02/06,2009,7,1,Manhattan
68,7510,2009/02/06,2009,7,1,Manhattan
69,7510,2009/02/06,2009,7,1,Manhattan
70,7510,2009/02/06,2009,7,1,Manhattan
71,7510,2009/02/06,2009,7,1,Manhattan
72,7510,2009/02/06,2009,7,1,Manhattan
73,7549,2009/02/07,2009,7,1,Manhattan
74,7549,2009/02/07,2009,7,1,Manhattan
75,7549,2009/02/07,2009,7,1,Manhattan
76,7549,2009/02/07,2009,7,1,Manhattan
77,7549,2009/02/07,2009,7,1,Manhattan
78,7611,2009/02/09,2009,7,1,Brooklyn
79,7626,2009/02/09,2009,7,1,Manhattan
80,7612,2009/02/09,2009,7,1,Manhattan
81,7702,2009/02/10,2009,7,1,Manhattan
82,7740,2009/02/11,2009,7,1,Manhattan
83,7949,2009/02/15,2009,7,1,Brooklyn
84,7999,2009/02/16,2009,7,1,Brooklyn
85,7987,2009/02/16,2009,7,1,Manhattan
86,7989,2009/02/16,2009,7,1,Manhattan
87,8057,2009/02/17,2009,7,1,Manhattan
88,8057,2009/02/17,2009,7,1,Manhattan
89,8057,2009/02/17,2009,7,1,Manhattan
90,8057,2009/02/17,2009,7,1,Manhattan
91,8178,2009/02/19,2009,7,1,Brooklyn
92,8178,2009/02/19,2009,7,1,Brooklyn
93,8198,2009/02/19,2009,7,1,Brooklyn
94,8380,2009/02/22,2009,7,1,Manhattan
95,8440,2009/02/23,2009,7,1,Brooklyn
96,8440,2009/02/23,2009,7,1,Brooklyn
97,8425,2009/02/23,2009,7,1,Manhattan
98,8605,2009/02/25,2009,7,1,Manhattan
99,8730,2009/02/27,2009,7,1,Manhattan
100,8703,2009/02/27,2009,7,1,Manhattan
101,8967,2009/03/03,2009,7,1,Manhattan
102,9744,2009/03/10,2009,7,1,Brooklyn
103,9744,2009/03/10,2009,7,1,Brooklyn
104,9744,2009/03/10,2009,7,1,Brooklyn
105,10176,2009/03/14,2009,7,1,Brooklyn
106,10151,2009/03/14,2009,7,1,Queens
107,10889,2009/03/21,2009,7,1,Brooklyn
108,10889,2009/03/21,2009,7,1,Brooklyn
109,10889,2009/03/21,2009,7,1,Brooklyn
110,11037,2009/03/22,2009,7,1,Brooklyn
111,11358,2009/03/25,2009,7,1,Brooklyn
112,11358,2009/03/25,2009,7,1,Brooklyn
113,11481,2009/03/26,2009,7,1,Brooklyn
114,11481,2009/03/26,2009,7,1,Brooklyn
115,11481,2009/03/26,2009,7,1,Brooklyn
116,11481,2009/03/26,2009,7,1,Brooklyn
117,11481,2009/03/26,2009,7,1,Brooklyn
118,11810,2009/03/30,2009,7,1,Queens
119,12169,2009/04/03,2009,7,1,Brooklyn
120,12169,2009/04/03,2009,7,1,Brooklyn
121,12221,2009/04/04,2009,7,1,Bronx
122,12221,2009/04/04,2009,7,1,Bronx
123,12220,2009/04/04,2009,7,1,Manhattan
124,12220,2009/04/04,2009,7,1,Manhattan
125,12712,2009/04/08,2009,7,1,Brooklyn
126,12712,2009/04/08,2009,7,1,Manhattan
127,12712,2009/04/08,2009,7,1,Manhattan
128,12869,2009/04/10,2009,7,1,Manhattan
129,13070,2009/04/12,2009,7,1,Manhattan
130,13424,2009/04/14,2009,7,1,Manhattan
131,13654,2009/04/16,2009,7,1,Manhattan
